,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort,BORO,Income,y
263,2001,372,127,34.1,54,14.5,42.5,2,0.5,1.6,52,14.0,40.9,73,19.6,57.5,95,25.5,126,33.9,M,92628,47.8
269,2003,91,57,62.6,23,25.3,40.4,3,3.3,5.3,20,22.0,35.1,34,37.4,59.6,28,30.8,6,6.6,M,92628,76.59999999999998
270,2004,94,72,76.59999999999998,37,39.4,51.4,24,25.5,33.3,13,13.8,18.1,35,37.2,48.6,18,19.1,2,2.1,M,92628,58.9
271,2005,107,63,58.9,42,39.3,66.7,9,8.4,14.3,33,30.8,52.4,21,19.6,33.3,34,31.8,10,9.3,M,92628,73.9
275,2003,72,56,77.8,33,45.8,58.9,0,0.0,0.0,33,45.8,58.9,23,31.9,41.1,6,8.3,6,8.3,M,92628,70.3
276,2004,91,64,70.3,46,50.5,71.90000000000002,0,0.0,0.0,46,50.5,71.90000000000002,18,19.8,28.1,15,16.5,9,9.9,M,92628,69.1
277,2005,81,56,69.1,42,51.9,75.0,0,0.0,0.0,42,51.9,75.0,14,17.3,25.0,13,16.0,6,7.4,M,92628,67.3
279,2001,228,22,9.6,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,22,9.6,100.0,192,84.2,14,6.1,M,92628,13.0
280,2003,171,23,13.5,5,2.9,21.7,0,0.0,0.0,5,2.9,21.7,18,10.5,78.3,121,70.8,27,15.8,M,92628,21.7
281,2004,115,25,21.7,8,7.0,32.0,0,0.0,0.0,8,7.0,32.0,17,14.8,68.0,81,70.40000000000002,8,7.0,M,92628,18.1
282,2005,160,29,18.1,8,5.0,27.6,0,0.0,0.0,8,5.0,27.6,21,13.1,72.4,104,65.0,24,15.0,M,92628,17.2
284,2003,52,41,78.8,38,73.09999999999998,92.7,34,65.4,82.9,4,7.7,9.8,3,5.8,7.3,9,17.3,1,1.9,M,92628,77.8
285,2004,72,56,77.8,52,72.2,92.9,45,62.5,80.4,7,9.7,12.5,4,5.6,7.1,14,19.4,2,2.8,M,92628,89.5
286,2005,76,68,89.5,64,84.2,94.1,56,73.7,82.4,8,10.5,11.8,4,5.3,5.9,6,7.9,2,2.6,M,92628,94.4
289,2002,103,56,54.4,36,35.0,64.3,7,6.8,12.5,29,28.2,51.8,20,19.4,35.70000000000001,14,13.6,33,32.0,M,92628,39.9
290,2003,158,63,39.9,36,22.8,57.1,9,5.7,14.3,27,17.1,42.9,27,17.1,42.9,24,15.2,70,44.3,M,92628,43.4
291,2004,106,46,43.4,37,34.9,80.4,9,8.5,19.6,28,26.4,60.9,9,8.5,19.6,31,29.2,29,27.4,M,92628,54.9
292,2005,113,62,54.9,46,40.7,74.2,17,15.0,27.4,29,25.7,46.8,16,14.2,25.8,32,28.3,19,16.8,M,92628,53.6
295,2003,99,56,56.6,21,21.2,37.5,7,7.1,12.5,14,14.1,25.0,35,35.4,62.5,35,35.4,7,7.1,M,92628,68.0
296,2004,103,70,68.0,31,30.1,44.3,12,11.7,17.1,19,18.4,27.1,39,37.9,55.7,25,24.3,7,6.8,M,92628,63.4
297,2005,82,52,63.4,24,29.3,46.2,5,6.1,9.6,19,23.2,36.5,28,34.1,53.8,22,26.8,8,9.8,M,92628,80.5
299,2001,279,79,28.3,1,0.4,1.3,0,0.0,0.0,1,0.4,1.3,78,28.0,98.7,199,71.3,1,0.4,M,92628,26.4
300,2002,307,81,26.4,1,0.3,1.2,0,0.0,0.0,1,0.3,1.2,80,26.1,98.8,226,73.59999999999998,0,0.0,M,92628,31.7
301,2003,290,92,31.7,53,18.3,57.6,0,0.0,0.0,53,18.3,57.6,39,13.4,42.4,196,67.6,2,0.7,M,92628,37.6
302,2004,205,77,37.6,44,21.5,57.1,0,0.0,0.0,44,21.5,57.1,33,16.1,42.9,122,59.5,6,2.9,M,92628,37.4
303,2005,198,74,37.4,57,28.8,77.0,0,0.0,0.0,57,28.8,77.0,17,8.6,23.0,115,58.1,3,1.5,M,92628,45.1
305,2001,43,25,58.1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,25,58.1,100.0,14,32.6,4,9.3,M,92628,28.9
306,2002,38,11,28.9,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,11,28.9,100.0,25,65.8,2,5.3,M,92628,15.6
307,2003,32,5,15.6,4,12.5,80.0,0,0.0,0.0,4,12.5,80.0,1,3.1,20.0,25,78.09999999999998,2,6.3,M,92628,42.3
308,2004,26,11,42.3,11,42.3,100.0,0,0.0,0.0,11,42.3,100.0,0,0.0,0.0,14,53.8,1,3.8,M,92628,27.6
309,2005,29,8,27.6,8,27.6,100.0,0,0.0,0.0,8,27.6,100.0,0,0.0,0.0,18,62.1,1,3.4,M,92628,41.3
311,2001,369,69,18.7,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,69,18.7,100.0,256,69.4,43,11.7,M,92628,14.4
312,2002,284,41,14.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,41,14.4,100.0,203,71.5,40,14.1,M,92628,13.5
313,2003,310,42,13.5,4,1.3,9.5,0,0.0,0.0,4,1.3,9.5,38,12.3,90.5,249,80.3,19,6.1,M,92628,19.0
314,2004,315,60,19.0,3,1.0,5.0,0,0.0,0.0,3,1.0,5.0,57,18.1,95.0,242,76.8,11,3.5,M,92628,16.1
315,2005,330,53,16.1,32,9.7,60.4,0,0.0,0.0,32,9.7,60.4,21,6.4,39.6,204,61.8,51,15.5,M,92628,13.5
317,2001,346,127,36.7,32,9.2,25.2,3,0.9,2.4,29,8.4,22.8,95,27.5,74.8,174,50.3,45,13.0,M,92628,35.9
318,2002,460,165,35.9,117,25.4,70.90000000000002,13,2.8,7.9,104,22.6,63.0,49,10.7,29.7,226,49.1,69,15.0,M,92628,22.8
319,2003,312,71,22.8,62,19.9,87.3,13,4.2,18.3,49,15.7,69.0,9,2.9,12.7,172,55.1,68,21.8,M,92628,44.2
320,2004,269,119,44.2,102,37.9,85.7,39,14.5,32.8,63,23.4,52.9,17,6.3,14.3,103,38.3,47,17.5,M,92628,52.4
321,2005,187,98,52.4,91,48.7,92.9,31,16.6,31.6,60,32.1,61.2,7,3.7,7.1,51,27.3,35,18.7,M,92628,45.4
323,2001,179,110,61.5,71,39.7,64.5,16,8.9,14.5,55,30.7,50.0,39,21.8,35.5,35,19.6,12,6.7,M,92628,58.0
324,2002,176,102,58.0,54,30.7,52.9,1,0.6,1.0,53,30.1,52.0,48,27.3,47.1,54,30.7,15,8.5,M,92628,47.2
325,2003,159,75,47.2,45,28.3,60.0,7,4.4,9.3,38,23.9,50.7,30,18.9,40.0,54,34.0,27,17.0,M,92628,56.3
326,2004,119,67,56.3,40,33.6,59.7,15,12.6,22.4,25,21.0,37.3,27,22.7,40.3,27,22.7,23,19.3,M,92628,54.9
327,2005,133,73,54.9,58,43.6,79.5,19,14.3,26.0,39,29.3,53.4,15,11.3,20.5,28,21.1,27,20.3,M,92628,69.4
329,2001,29,7,24.1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,7,24.1,100.0,16,55.2,6,20.7,M,92628,32.1
330,2002,28,9,32.1,3,10.7,33.3,0,0.0,0.0,3,10.7,33.3,6,21.4,66.7,15,53.6,4,14.3,M,92628,18.6
331,2003,43,8,18.6,3,7.0,37.5,0,0.0,0.0,3,7.0,37.5,5,11.6,62.5,22,51.2,13,30.2,M,92628,15.0
332,2004,40,6,15.0,2,5.0,33.3,0,0.0,0.0,2,5.0,33.3,4,10.0,66.7,26,65.0,7,17.5,M,92628,30.0
333,2005,30,9,30.0,2,6.7,22.2,0,0.0,0.0,2,6.7,22.2,7,23.3,77.8,13,43.3,8,26.7,M,92628,40.0
335,2001,415,302,72.8,249,60.0,82.5,29,7.0,9.6,220,53.0,72.8,54,13.0,17.9,45,10.8,36,8.7,M,92628,77.8
336,2002,383,298,77.8,193,50.4,64.8,14,3.7,4.7,179,46.7,60.1,105,27.4,35.20000000000001,50,13.1,25,6.5,M,92628,82.1
337,2003,335,275,82.1,185,55.2,67.3,133,39.7,48.4,52,15.5,18.9,90,26.9,32.7,35,10.4,21,6.3,M,92628,85.1
338,2004,348,296,85.1,185,53.2,62.5,135,38.8,45.6,50,14.4,16.9,111,31.9,37.5,33,9.5,12,3.4,M,92628,77.9
339,2005,403,314,77.9,252,62.5,80.3,25,6.2,8.0,227,56.3,72.3,62,15.4,19.7,61,15.1,20,5.0,M,92628,90.4
341,2001,51,30,58.8,7,13.7,23.3,0,0.0,0.0,7,13.7,23.3,23,45.1,76.7,17,33.3,3,5.9,M,92628,52.3
342,2002,44,23,52.3,3,6.8,13.0,0,0.0,0.0,3,6.8,13.0,20,45.5,87.0,10,22.7,11,25.0,M,92628,60.3
343,2003,58,35,60.3,19,32.8,54.3,0,0.0,0.0,19,32.8,54.3,16,27.6,45.7,15,25.9,7,12.1,M,92628,45.1
344,2004,51,23,45.1,22,43.1,95.7,7,13.7,30.4,15,29.4,65.2,1,2.0,4.3,22,43.1,6,11.8,M,92628,60.0
345,2005,35,21,60.0,20,57.1,95.2,3,8.6,14.3,17,48.6,81.0,1,2.9,4.8,9,25.7,4,11.4,M,92628,83.3
347,2001,183,67,36.6,34,18.6,50.7,0,0.0,0.0,34,18.6,50.7,33,18.0,49.3,60,32.8,40,21.9,M,92628,43.9
348,2002,205,90,43.9,47,22.9,52.2,0,0.0,0.0,47,22.9,52.2,44,21.5,48.9,62,30.2,41,20.0,M,92628,35.1
349,2003,171,60,35.1,29,17.0,48.3,0,0.0,0.0,29,17.0,48.3,31,18.1,51.7,52,30.4,42,24.6,M,92628,48.4
350,2004,215,104,48.4,59,27.4,56.7,27,12.6,26.0,32,14.9,30.8,45,20.9,43.3,69,32.1,32,14.9,M,92628,50.6
351,2005,170,86,50.6,50,29.4,58.1,22,12.9,25.6,28,16.5,32.6,36,21.2,41.9,21,12.4,31,18.2,M,92628,52.0
353,2001,603,253,42.0,132,21.9,52.2,14,2.3,5.5,118,19.6,46.6,121,20.1,47.8,184,30.5,121,20.1,M,92628,43.1
354,2002,578,249,43.1,103,17.8,41.4,12,2.1,4.8,91,15.7,36.5,146,25.3,58.6,163,28.2,143,24.7,M,92628,39.4
355,2003,498,196,39.4,87,17.5,44.4,68,13.7,34.7,19,3.8,9.7,109,21.9,55.6,157,31.5,124,24.9,M,92628,35.4
356,2004,509,180,35.4,81,15.9,45.0,41,8.1,22.8,40,7.9,22.2,99,19.4,55.0,214,42.0,106,20.8,M,92628,37.0
357,2005,362,134,37.0,72,19.9,53.7,3,0.8,2.2,69,19.1,51.5,62,17.1,46.3,139,38.4,75,20.7,M,92628,50.0
359,2001,422,133,31.5,49,11.6,36.8,0,0.0,0.0,49,11.6,36.8,84,19.9,63.2,146,34.6,124,29.4,M,92628,34.8
360,2002,417,145,34.8,83,19.9,57.2,5,1.2,3.4,78,18.7,53.8,62,14.9,42.8,114,27.3,138,33.1,M,92628,30.6
361,2003,346,106,30.6,71,20.5,67.0,1,0.3,0.9,70,20.2,66.0,35,10.1,33.0,114,32.9,109,31.5,M,92628,32.7
362,2004,373,122,32.7,82,22.0,67.2,5,1.3,4.1,77,20.6,63.1,40,10.7,32.8,131,35.1,113,30.3,M,92628,42.9
363,2005,366,157,42.9,82,22.4,52.2,3,0.8,1.9,79,21.6,50.3,75,20.5,47.8,89,24.3,99,27.0,M,92628,50.4
365,2001,280,198,70.7,91,32.5,46.0,26,9.3,13.1,65,23.2,32.8,107,38.2,54.0,60,21.4,11,3.9,M,92628,63.7
366,2002,245,156,63.7,94,38.4,60.3,18,7.3,11.5,76,31.0,48.7,62,25.3,39.7,69,28.2,8,3.3,M,92628,61.1
367,2003,316,193,61.1,119,37.7,61.7,34,10.8,17.6,85,26.9,44.0,74,23.4,38.3,94,29.7,20,6.3,M,92628,68.3
368,2004,268,183,68.3,125,46.6,68.3,19,7.1,10.4,106,39.6,57.9,58,21.6,31.7,66,24.6,15,5.6,M,92628,64.8
369,2005,307,199,64.8,158,51.5,79.4,17,5.5,8.5,141,45.9,70.90000000000002,41,13.4,20.6,87,28.3,11,3.6,M,92628,72.2
371,2001,119,84,70.6,43,36.1,51.2,8,6.7,9.5,35,29.4,41.7,41,34.5,48.8,21,17.6,14,11.8,M,92628,76.5
372,2002,136,104,76.5,51,37.5,49.0,8,5.9,7.7,43,31.6,41.3,53,39.0,51.0,21,15.4,7,5.1,M,92628,76.2
373,2003,105,80,76.2,42,40.0,52.5,7,6.7,8.800000000000002,35,33.3,43.8,38,36.2,47.5,13,12.4,7,6.7,M,92628,83.1
374,2004,130,108,83.1,70,53.8,64.8,20,15.4,18.5,50,38.5,46.3,38,29.2,35.20000000000001,11,8.5,11,8.5,M,92628,84.7
375,2005,111,94,84.7,59,53.2,62.8,2,1.8,2.1,57,51.4,60.6,35,31.5,37.2,10,9.0,6,5.4,M,92628,85.6
377,2001,47,23,48.9,10,21.3,43.5,0,0.0,0.0,10,21.3,43.5,13,27.7,56.5,10,21.3,12,25.5,M,92628,45.2
378,2002,31,14,45.2,9,29.0,64.3,0,0.0,0.0,9,29.0,64.3,5,16.1,35.70000000000001,6,19.4,10,32.3,M,92628,34.1
379,2003,41,14,34.1,8,19.5,57.1,0,0.0,0.0,8,19.5,57.1,6,14.6,42.9,14,34.1,11,26.8,M,92628,37.5
380,2004,64,24,37.5,10,15.6,41.7,0,0.0,0.0,10,15.6,41.7,14,21.9,58.3,23,35.9,17,26.6,M,92628,37.1
381,2005,62,23,37.1,5,8.1,21.7,0,0.0,0.0,5,8.1,21.7,18,29.0,78.3,27,43.5,4,6.5,M,92628,50.0
383,2005,50,4,8.0,3,6.0,75.0,0,0.0,0.0,3,6.0,75.0,1,2.0,25.0,35,70.0,10,20.0,X,18237,17.9
385,2004,71,52,73.2,24,33.8,46.2,2,2.8,3.8,22,31.0,42.3,28,39.4,53.8,9,12.7,7,9.9,X,18237,85.2
386,2005,61,52,85.2,32,52.5,61.5,7,11.5,13.5,25,41.0,48.1,20,32.8,38.5,7,11.5,2,3.3,X,18237,90.0
389,2002,54,4,7.4,2,3.7,50.0,0,0.0,0.0,2,3.7,50.0,2,3.7,50.0,33,61.1,17,31.5,X,18237,13.8
390,2003,65,9,13.8,5,7.7,55.6,0,0.0,0.0,5,7.7,55.6,4,6.2,44.4,31,47.7,25,38.5,X,18237,12.8
391,2004,47,6,12.8,4,8.5,66.7,0,0.0,0.0,4,8.5,66.7,2,4.3,33.3,36,76.59999999999998,5,10.6,X,18237,8.0
396,2004,44,5,11.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,11.4,100.0,36,81.8,3,6.8,X,18237,16.0
397,2005,75,12,16.0,1,1.3,8.3,0,0.0,0.0,1,1.3,8.3,11,14.7,91.7,50,66.7,12,16.0,X,18237,18.0
400,2003,79,49,62.0,32,40.5,65.3,3,3.8,6.1,29,36.7,59.2,17,21.5,34.7,20,25.3,6,7.6,X,18237,64.6
402,2002,64,35,54.7,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,35,54.7,100.0,27,42.2,1,1.6,X,18237,57.3
403,2003,75,43,57.3,10,13.3,23.3,0,0.0,0.0,10,13.3,23.3,33,44.0,76.7,23,30.7,8,10.7,X,18237,72.09999999999998
404,2004,86,62,72.09999999999998,22,25.6,35.5,0,0.0,0.0,22,25.6,35.5,40,46.5,64.5,12,14.0,11,12.8,X,18237,50.0
405,2005,82,41,50.0,7,8.5,17.1,0,0.0,0.0,7,8.5,17.1,34,41.5,82.9,22,26.8,16,19.5,X,18237,67.9
411,2002,72,54,75.0,14,19.4,25.9,0,0.0,0.0,14,19.4,25.9,40,55.6,74.09999999999998,12,16.7,2,2.8,X,18237,73.8
412,2003,65,48,73.8,14,21.5,29.2,2,3.1,4.2,12,18.5,25.0,34,52.3,70.8,10,15.4,4,6.2,X,18237,76.8
413,2004,69,53,76.8,21,30.4,39.6,0,0.0,0.0,21,30.4,39.6,32,46.4,60.4,12,17.4,4,5.8,X,18237,56.7
414,2005,97,55,56.7,29,29.9,52.7,2,2.1,3.6,27,27.8,49.1,26,26.8,47.3,29,29.9,6,6.2,X,18237,69.6
416,2001,103,81,78.59999999999998,59,57.3,72.8,15,14.6,18.5,44,42.7,54.3,22,21.4,27.2,22,21.4,0,0.0,X,18237,80.7
417,2002,88,71,80.7,54,61.4,76.09999999999998,23,26.1,32.4,31,35.20000000000001,43.7,17,19.3,23.9,16,18.2,1,1.1,X,18237,80.0
418,2003,95,76,80.0,58,61.1,76.3,33,34.7,43.4,25,26.3,32.9,18,18.9,23.7,16,16.8,3,3.2,X,18237,85.0
419,2004,107,91,85.0,73,68.2,80.2,48,44.9,52.7,25,23.4,27.5,18,16.8,19.8,13,12.1,3,2.8,X,18237,78.0
420,2005,82,64,78.0,52,63.4,81.3,22,26.8,34.4,30,36.6,46.9,12,14.6,18.8,15,18.3,2,2.4,X,18237,95.1
422,2001,71,56,78.9,38,53.5,67.9,1,1.4,1.8,37,52.1,66.1,18,25.4,32.1,12,16.9,2,2.8,X,18237,78.8
423,2002,66,52,78.8,38,57.6,73.09999999999998,9,13.6,17.3,29,43.9,55.8,14,21.2,26.9,7,10.6,6,9.1,X,18237,62.0
424,2004,96,62,64.6,41,42.7,66.1,3,3.1,4.8,38,39.6,61.3,21,21.9,33.9,16,16.7,10,10.4,X,18237,60.6
425,2005,104,63,60.6,51,49.0,81.0,1,1.0,1.6,50,48.1,79.4,12,11.5,19.0,22,21.2,10,9.6,X,18237,64.0
428,2003,57,44,77.2,26,45.6,59.1,3,5.3,6.8,23,40.4,52.3,18,31.6,40.9,10,17.5,2,3.5,X,18237,70.7
429,2004,99,70,70.7,49,49.5,70.0,9,9.1,12.9,40,40.4,57.1,21,21.2,30.0,20,20.2,7,7.1,X,18237,74.59999999999998
430,2005,71,53,74.59999999999998,29,40.8,54.7,3,4.2,5.7,26,36.6,49.1,24,33.8,45.3,7,9.9,5,7.0,X,18237,72.5
433,2002,77,53,68.8,14,18.2,26.4,0,0.0,0.0,14,18.2,26.4,39,50.6,73.59999999999998,8,10.4,6,7.8,X,18237,60.3
434,2003,73,44,60.3,6,8.2,13.6,0,0.0,0.0,6,8.2,13.6,38,52.1,86.4,9,12.3,6,8.2,X,18237,54.4
435,2004,79,43,54.4,10,12.7,23.3,0,0.0,0.0,10,12.7,23.3,33,41.8,76.7,19,24.1,8,10.1,X,18237,70.8
436,2005,72,51,70.8,26,36.1,51.0,1,1.4,2.0,25,34.7,49.0,25,34.7,49.0,8,11.1,9,12.5,X,18237,55.6
438,2001,70,61,87.1,17,24.3,27.9,0,0.0,0.0,17,24.3,27.9,44,62.9,72.09999999999998,4,5.7,0,0.0,X,18237,70.40000000000002
439,2002,81,57,70.40000000000002,34,42.0,59.6,4,4.9,7.0,30,37.0,52.6,23,28.4,40.4,10,12.3,1,1.2,X,18237,81.59999999999998
440,2003,76,62,81.59999999999998,34,44.7,54.8,7,9.2,11.3,27,35.5,43.5,28,36.8,45.2,12,15.8,1,1.3,X,18237,92.9
441,2004,70,65,92.9,33,47.1,50.8,4,5.7,6.2,29,41.4,44.6,32,45.7,49.2,4,5.7,1,1.4,X,18237,81.9
442,2005,72,59,81.9,47,65.3,79.7,8,11.1,13.6,39,54.2,66.1,12,16.7,20.3,10,13.9,1,1.4,X,18237,89.0
445,2003,64,57,89.1,42,65.6,73.7,6,9.4,10.5,36,56.3,63.2,15,23.4,26.3,4,6.3,2,3.1,X,18237,80.3
446,2004,66,53,80.3,48,72.7,90.6,3,4.5,5.7,45,68.2,84.9,5,7.6,9.4,11,16.7,2,3.0,X,18237,88.4
447,2005,69,61,88.4,55,79.7,90.2,17,24.6,27.9,38,55.1,62.3,6,8.7,9.8,6,8.7,1,1.4,X,18237,76.3
449,2001,253,101,39.9,44,17.4,43.6,2,0.8,2.0,42,16.6,41.6,57,22.5,56.4,69,27.3,72,28.5,X,18237,46.4
450,2002,239,111,46.4,47,19.7,42.3,7,2.9,6.3,40,16.7,36.0,64,26.8,57.7,54,22.6,70,29.3,X,18237,41.9
451,2003,215,90,41.9,45,20.9,50.0,35,16.3,38.9,10,4.7,11.1,45,20.9,50.0,71,33.0,50,23.3,X,18237,33.3
452,2004,249,83,33.3,57,22.9,68.7,37,14.9,44.6,20,8.0,24.1,26,10.4,31.3,75,30.1,88,35.3,X,18237,42.1
453,2005,271,114,42.1,71,26.2,62.3,50,18.5,43.9,21,7.7,18.4,43,15.9,37.7,69,25.5,70,25.8,X,18237,44.2
455,2001,290,152,52.4,86,29.7,56.6,1,0.3,0.7,85,29.3,55.9,67,23.1,44.1,54,18.6,55,19.0,X,18237,50.2
456,2002,261,131,50.2,101,38.7,77.09999999999998,3,1.1,2.3,98,37.5,74.8,30,11.5,22.9,50,19.2,57,21.8,X,18237,48.9
457,2003,317,155,48.9,89,28.1,57.4,12,3.8,7.7,77,24.3,49.7,66,20.8,42.6,65,20.5,69,21.8,X,18237,48.9
458,2004,313,153,48.9,112,35.8,73.2,10,3.2,6.5,102,32.6,66.7,41,13.1,26.8,81,25.9,53,16.9,X,18237,41.3
459,2005,349,144,41.3,98,28.1,68.1,3,0.9,2.1,95,27.2,66.0,46,13.2,31.9,115,33.0,58,16.6,X,18237,51.0
461,2001,108,73,67.6,45,41.7,61.6,8,7.4,11.0,37,34.3,50.7,28,25.9,38.4,29,26.9,3,2.8,X,18237,68.9
462,2002,122,84,68.9,50,41.0,59.5,6,4.9,7.1,44,36.1,52.4,34,27.9,40.5,27,22.1,7,5.7,X,18237,53.1
463,2003,130,69,53.1,50,38.5,72.5,5,3.8,7.2,45,34.6,65.2,19,14.6,27.5,32,24.6,28,21.5,X,18237,56.9
464,2004,137,78,56.9,48,35.0,61.5,8,5.8,10.3,40,29.2,51.3,30,21.9,38.5,38,27.7,20,14.6,X,18237,66.7
465,2005,126,84,66.7,59,46.8,70.2,10,7.9,11.9,49,38.9,58.3,25,19.8,29.8,23,18.3,11,8.7,X,18237,72.4
473,2003,41,29,70.7,17,41.5,58.6,2,4.9,6.9,15,36.6,51.7,12,29.3,41.4,9,22.0,3,7.3,X,44490,70.5
474,2004,95,67,70.5,57,60.0,85.1,4,4.2,6.0,53,55.8,79.09999999999998,10,10.5,14.9,18,18.9,10,10.5,X,44490,69.5
475,2005,95,66,69.5,49,51.6,74.2,3,3.2,4.5,46,48.4,69.7,17,17.9,25.8,15,15.8,9,9.5,X,44490,70.1
479,2003,58,37,63.8,23,39.7,62.2,9,15.5,24.3,14,24.1,37.8,14,24.1,37.8,17,29.3,0,0.0,X,44490,67.8
480,2004,87,59,67.8,31,35.6,52.5,2,2.3,3.4,29,33.3,49.2,28,32.2,47.5,17,19.5,11,12.6,X,44490,40.9
481,2005,88,36,40.9,33,37.5,91.7,0,0.0,0.0,33,37.5,91.7,3,3.4,8.3,33,37.5,11,12.5,X,44490,45.5
484,2003,53,24,45.3,9,17.0,37.5,0,0.0,0.0,9,17.0,37.5,15,28.3,62.5,15,28.3,14,26.4,X,44490,57.9
485,2004,76,44,57.9,14,18.4,31.8,0,0.0,0.0,14,18.4,31.8,30,39.5,68.2,20,26.3,12,15.8,X,44490,50.0
486,2005,118,59,50.0,24,20.3,40.7,0,0.0,0.0,24,20.3,40.7,35,29.7,59.3,24,20.3,29,24.6,X,44490,57.4
489,2003,43,36,83.7,15,34.9,41.7,0,0.0,0.0,15,34.9,41.7,21,48.8,58.3,5,11.6,1,2.3,X,44490,62.8
490,2004,94,59,62.8,31,33.0,52.5,0,0.0,0.0,31,33.0,52.5,28,29.8,47.5,29,30.9,6,6.4,X,44490,59.8
491,2005,102,61,59.8,41,40.2,67.2,2,2.0,3.3,39,38.2,63.9,20,19.6,32.8,33,32.4,7,6.9,X,44490,63.0
498,2004,29,2,6.9,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,6.9,100.0,26,89.7,1,3.4,X,44490,5.1
499,2005,98,5,5.1,2,2.0,40.0,0,0.0,0.0,2,2.0,40.0,3,3.1,60.0,77,78.59999999999998,13,13.3,X,44490,15.2
501,2001,922,511,55.4,299,32.4,58.5,88,9.5,17.2,211,22.9,41.3,212,23.0,41.5,261,28.3,124,13.4,X,44490,47.1
502,2002,910,429,47.1,282,31.0,65.7,76,8.4,17.7,206,22.6,48.0,147,16.2,34.3,337,37.0,115,12.6,X,44490,46.4
503,2003,890,413,46.4,273,30.7,66.1,97,10.9,23.5,176,19.8,42.6,140,15.7,33.9,301,33.8,152,17.1,X,44490,42.8
504,2004,1059,453,42.8,299,28.2,66.0,132,12.5,29.1,167,15.8,36.9,154,14.5,34.0,381,36.0,205,19.4,X,44490,45.5
505,2005,1007,458,45.5,340,33.8,74.2,122,12.1,26.6,218,21.6,47.6,118,11.7,25.8,326,32.4,146,14.5,X,44490,51.7
507,2001,656,195,29.7,92,14.0,47.2,0,0.0,0.0,92,14.0,47.2,103,15.7,52.8,264,40.2,166,25.3,X,44490,29.7
508,2002,623,185,29.7,93,14.9,50.3,0,0.0,0.0,93,14.9,50.3,92,14.8,49.7,266,42.7,132,21.2,X,44490,28.9
509,2003,612,177,28.9,71,11.6,40.1,0,0.0,0.0,71,11.6,40.1,106,17.3,59.9,241,39.4,167,27.3,X,44490,21.6
510,2004,357,77,21.6,29,8.1,37.7,0,0.0,0.0,29,8.1,37.7,48,13.4,62.3,141,39.5,122,34.2,X,44490,33.1
514,2002,80,44,55.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,44,55.0,100.0,30,37.5,1,1.3,X,44490,48.4
515,2003,62,30,48.4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,30,48.4,100.0,23,37.1,7,11.3,X,44490,58.0
516,2004,81,47,58.0,9,11.1,19.1,0,0.0,0.0,9,11.1,19.1,38,46.9,80.9,25,30.9,7,8.6,X,44490,53.5
517,2005,43,23,53.5,3,7.0,13.0,0,0.0,0.0,3,7.0,13.0,20,46.5,87.0,10,23.3,7,16.3,X,44490,65.6
521,2004,102,46,45.1,22,21.6,47.8,0,0.0,0.0,22,21.6,47.8,24,23.5,52.2,35,34.3,20,19.6,X,44490,54.7
522,2005,95,52,54.7,30,31.6,57.7,0,0.0,0.0,30,31.6,57.7,22,23.2,42.3,33,34.7,10,10.5,X,44490,61.6
524,2001,47,40,85.1,14,29.8,35.0,0,0.0,0.0,14,29.8,35.0,26,55.3,65.0,6,12.8,1,2.1,X,44490,62.2
525,2002,37,23,62.2,10,27.0,43.5,0,0.0,0.0,10,27.0,43.5,13,35.1,56.5,8,21.6,1,2.7,X,44490,44.6
526,2003,65,29,44.6,19,29.2,65.5,0,0.0,0.0,19,29.2,65.5,10,15.4,34.5,22,33.8,9,13.8,X,44490,36.6
527,2004,82,30,36.6,12,14.6,40.0,0,0.0,0.0,12,14.6,40.0,18,22.0,60.0,34,41.5,18,22.0,X,44490,51.8
528,2005,114,59,51.8,33,28.9,55.9,0,0.0,0.0,33,28.9,55.9,26,22.8,44.1,34,29.8,14,12.3,X,44490,46.3
532,2003,56,25,44.6,10,17.9,40.0,0,0.0,0.0,10,17.9,40.0,15,26.8,60.0,15,26.8,10,17.9,X,44490,40.4
533,2004,89,36,40.4,13,14.6,36.1,1,1.1,2.8,12,13.5,33.3,23,25.8,63.9,32,36.0,13,14.6,X,44490,42.5
534,2005,106,45,42.5,19,17.9,42.2,1,0.9,2.2,18,17.0,40.0,26,24.5,57.8,37,34.9,14,13.2,X,44490,53.9
